symbol,name,aliases
AAPL,Apple Inc,"[""$AAPL"", ""aapl"", ""app store"", ""apple"", ""apple computer"", ""apple corporation"", ""apple inc"", ""ios"", ""ipad"", ""iphone"", ""itunes"", ""mac"", ""macbook""]"
MSFT,Microsoft Corporation,"[""$MSFT"", ""azure"", ""bing"", ""github"", ""linkedin"", ""microsoft"", ""microsoft corporation"", ""msft"", ""office"", ""teams"", ""windows"", ""xbox""]"
GOOGL,Alphabet Inc,"[""$GOOGL"", ""ads"", ""alphabet"", ""alphabet corporation"", ""alphabet inc"", ""android"", ""chrome"", ""gmail"", ""goog"", ""googl"", ""google"", ""maps"", ""search"", ""youtube""]"
AMZN,Amazon.com Inc,"[""$AMZN"", ""alexa"", ""amazon"", ""amazon corporation"", ""amazon inc"", ""amazon.com"", ""amzn"", ""aws"", ""echo"", ""kindle"", ""prime""]"
TSLA,Tesla Inc,"[""$TSLA"", ""autopilot"", ""cybertruck"", ""model 3"", ""model s"", ""model x"", ""model y"", ""supercharger"", ""tesla"", ""tesla corporation"", ""tesla inc"", ""tesla motors"", ""tsla""]"
META,Meta Platforms Inc,"[""$META"", ""facebook"", ""fb"", ""instagram"", ""meta"", ""meta inc"", ""meta platforms"", ""metaverse"", ""oculus"", ""vr"", ""whatsapp""]"
NVDA,NVIDIA Corporation,"[""$NVDA"", ""ai"", ""cuda"", ""gaming"", ""gpu"", ""gtx"", ""nvda"", ""nvidia"", ""nvidia corporation"", ""nvidia inc"", ""rtx"", ""tensor""]"
BRK.B,Berkshire Hathaway Inc,"[""$BRK.B"", ""berkshire"", ""berkshire hathaway"", ""brk"", ""brk.b""]"
JPM,JPMorgan Chase & Co,"[""$JPM"", ""chase bank"", ""investment bank"", ""jp morgan"", ""jpm"", ""jpmorgan"", ""jpmorgan chase"", ""jpmorgan chase & co""]"
V,Visa Inc,"[""$V"", ""v"", ""visa"", ""visa card"", ""visa corporation"", ""visa inc"", ""visa international"", ""visa network"", ""visa payment"", ""visa worldwide""]"
JNJ,Johnson & Johnson,"[""$JNJ"", ""consumer health"", ""healthcare"", ""jnj"", ""johnson"", ""johnson & johnson"", ""medical devices"", ""pharmaceutical""]"
WMT,Walmart Inc,"[""$WMT"", ""retail"", ""sam's club"", ""supercenter"", ""wal-mart"", ""walmart"", ""walmart corporation"", ""walmart inc"", ""wmt""]"
PG,Procter & Gamble Co,"[""$PG"", ""consumer goods"", ""household products"", ""p&g"", ""personal care"", ""pg"", ""procter"", ""procter & gamble""]"
UNH,UnitedHealth Group Inc,"[""$UNH"", ""health insurance"", ""medicare"", ""optum"", ""unh"", ""united healthcare"", ""unitedhealth"", ""unitedhealth group""]"
MA,Mastercard Inc,"[""$MA"", ""ma"", ""mastercard"", ""mastercard corporation"", ""mastercard inc"", ""mastercard international"", ""mastercard network"", ""mastercard payment""]"
HD,Home Depot Inc,"[""$HD"", ""appliances"", ""construction materials"", ""hardware store"", ""hd"", ""home depot"", ""home improvement"", ""tools""]"
DIS,Walt Disney Co,"[""$DIS"", ""abc"", ""dis"", ""disney"", ""disney corporation"", ""disney world"", ""disneyland"", ""espn"", ""marvel"", ""pixar"", ""star wars"", ""walt disney""]"
PYPL,PayPal Holdings Inc,"[""$PYPL"", ""digital payment"", ""online payment"", ""paypal"", ""paypal holdings"", ""paypal inc"", ""pypl"", ""venmo"", ""xoom""]"
ADBE,Adobe Inc,"[""$ADBE"", ""acrobat"", ""adbe"", ""adobe"", ""adobe corporation"", ""adobe inc"", ""creative cloud"", ""illustrator"", ""pdf"", ""photoshop""]"
CRM,Salesforce Inc,"[""$CRM"", ""cloud computing"", ""crm"", ""customer relationship"", ""saas"", ""salesforce"", ""salesforce corporation"", ""salesforce inc""]"
NFLX,Netflix Inc,"[""$NFLX"", ""netflix"", ""netflix corporation"", ""netflix inc"", ""nflx"", ""original content"", ""streaming"", ""subscription"", ""video streaming""]"
KO,Coca-Cola Co,"[""$KO"", ""beverages"", ""coca cola"", ""coca cola company"", ""coca-cola"", ""coke"", ""fanta"", ""ko"", ""soft drinks"", ""sprite""]"
PFE,Pfizer Inc,"[""$PFE"", ""drugs"", ""medicine"", ""pfe"", ""pfizer"", ""pfizer corporation"", ""pfizer inc"", ""pharmaceutical"", ""vaccines""]"
ABT,Abbott Laboratories,"[""$ABT"", ""abbott"", ""abbott laboratories"", ""abt""]"
TMO,Thermo Fisher Scientific Inc,"[""$TMO"", ""thermo fisher"", ""thermo fisher scientific"", ""tmo""]"
COST,Costco Wholesale Corp,"[""$COST"", ""bulk shopping"", ""cost"", ""costco"", ""costco wholesale"", ""costco wholesale corp"", ""membership"", ""warehouse club""]"
AVGO,Broadcom Inc,"[""$AVGO"", ""avgo"", ""broadcom"", ""broadcom inc""]"
PEP,PepsiCo Inc,"[""$PEP"", ""pep"", ""pepsico"", ""pepsico inc""]"
TXN,Texas Instruments Inc,"[""$TXN"", ""texas instruments"", ""ti"", ""txn""]"
QCOM,QUALCOMM Inc,"[""$QCOM"", ""qcom"", ""qualcomm"", ""qualcomm inc""]"
CMCSA,Comcast Corp,"[""$CMCSA"", ""cable"", ""cmcsa"", ""comcast"", ""comcast corp"", ""comcast corporation"", ""internet"", ""nbc"", ""universal"", ""xfinity""]"
DHR,Danaher Corp,"[""$DHR"", ""danaher"", ""danaher corp"", ""dhr""]"
VZ,Verizon Communications Inc,"[""$VZ"", ""5g"", ""fios"", ""telecommunications"", ""verizon"", ""verizon communications"", ""verizon wireless"", ""vz"", ""wireless""]"
ACN,Accenture PLC,"[""$ACN"", ""accenture"", ""accenture plc"", ""acn"", ""consulting"", ""digital transformation"", ""outsourcing"", ""technology services""]"
WFC,Wells Fargo & Co,"[""$WFC"", ""banking"", ""financial services"", ""mortgage"", ""wells fargo"", ""wells fargo & co"", ""wells fargo bank"", ""wfc""]"
NKE,Nike Inc,"[""$NKE"", ""apparel"", ""athletic"", ""jordan"", ""nike"", ""nike corporation"", ""nike inc"", ""nke"", ""shoes"", ""sports""]"
T,AT&T Inc,"[""$T"", ""at&t"", ""at&t inc"", ""att"", ""directv"", ""internet"", ""phone service"", ""t"", ""telecommunications"", ""wireless""]"
RTX,Raytheon Technologies Corp,"[""$RTX"", ""aerospace"", ""defense"", ""military"", ""pratt & whitney"", ""raytheon"", ""raytheon corp"", ""raytheon technologies"", ""rtx""]"
INTC,Intel Corp,"[""$INTC"", ""chips"", ""cpu"", ""intc"", ""intel"", ""intel corp"", ""intel corporation"", ""processors"", ""semiconductor"", ""x86""]"
SPGI,S&P Global Inc,"[""$SPGI"", ""s&p global"", ""sp global"", ""spgi""]"
UNP,Union Pacific Corp,"[""$UNP"", ""union pacific"", ""union pacific corp"", ""unp""]"
IBM,International Business Machines Corp,"[""$IBM"", ""artificial intelligence"", ""cloud computing"", ""enterprise"", ""ibm"", ""ibm corp"", ""ibm corporation"", ""international business machines"", ""watson""]"
LMT,Lockheed Martin Corp,"[""$LMT"", ""aerospace"", ""defense contractor"", ""f-35"", ""lmt"", ""lockheed martin"", ""lockheed martin corp"", ""military"", ""space""]"
CAT,Caterpillar Inc,"[""$CAT"", ""cat"", ""caterpillar"", ""caterpillar corporation"", ""caterpillar inc"", ""construction"", ""equipment"", ""heavy machinery"", ""mining""]"
GE,General Electric Co,"[""$GE"", ""aviation"", ""ge"", ""ge corporation"", ""general electric"", ""general electric co"", ""healthcare"", ""industrial"", ""power"", ""renewable energy""]"
AMGN,Amgen Inc,"[""$AMGN"", ""amgen"", ""amgen inc"", ""amgn""]"
HON,Honeywell International Inc,"[""$HON"", ""aerospace"", ""automation"", ""building technologies"", ""hon"", ""honeywell"", ""honeywell inc"", ""honeywell international"", ""industrial""]"
BMY,Bristol Myers Squibb Co,"[""$BMY"", ""bmy"", ""bristol myers"", ""bristol myers squibb"", ""bristol myers squibb co"", ""cancer drugs"", ""immunotherapy"", ""pharmaceutical""]"
CVS,CVS Health Corp,"[""$CVS"", ""cvs"", ""cvs health"", ""cvs health corp"", ""cvs pharmacy"", ""healthcare"", ""minute clinic"", ""pharmacy"", ""retail pharmacy""]"
COP,ConocoPhillips,"[""$COP"", ""conoco"", ""conoco phillips"", ""conocophillips"", ""cop"", ""energy"", ""exploration"", ""gas"", ""oil"", ""petroleum""]"
TGT,Target Corp,"[""$TGT"", ""department store"", ""red card"", ""retail"", ""shopping"", ""target"", ""target corp"", ""target corporation"", ""tgt""]"
LOW,Lowe's Cos Inc,"[""$LOW"", ""construction"", ""hardware"", ""home improvement"", ""low"", ""lowes"", ""lowes companies"", ""lowes cos"", ""tools""]"
SBUX,Starbucks Corp,"[""$SBUX"", ""cafe"", ""coffee"", ""coffee shop"", ""frappuccino"", ""sbux"", ""starbucks"", ""starbucks corp"", ""starbucks corporation""]"
AMD,Advanced Micro Devices Inc,"[""$AMD"", ""advanced micro devices"", ""amd"", ""amd corporation"", ""amd inc"", ""gpu"", ""processors"", ""radeon"", ""ryzen"", ""semiconductor""]"
ISRG,Intuitive Surgical Inc,"[""$ISRG"", ""da vinci"", ""intuitive surgical"", ""intuitive surgical inc"", ""isrg"", ""medical devices"", ""robotic surgery"", ""surgical robots""]"
GILD,Gilead Sciences Inc,"[""$GILD"", ""antiviral"", ""gild"", ""gilead"", ""gilead sciences"", ""gilead sciences inc"", ""hepatitis c"", ""hiv drugs"", ""pharmaceutical""]"
MDT,Medtronic PLC,"[""$MDT"", ""insulin pumps"", ""mdt"", ""medical devices"", ""medtronic"", ""medtronic inc"", ""medtronic plc"", ""pacemakers"", ""surgical instruments""]"
CI,Cigna Corp,"[""$CI"", ""ci"", ""cigna"", ""cigna corp"", ""cigna corporation"", ""health insurance"", ""healthcare"", ""medicare"", ""pharmacy""]"
